time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T10:21:55.950Z,33.9256667,-116.7043333,13.83,1.18,ml,49,47,0.1201,0.16,ci,ci39628327,2021-04-25T10:32:41.660Z,"8km E of Cabazon, CA",earthquake,0.19,0.46,0.136,26,automatic,ci,ci
2021-04-25T10:16:05.304Z,60.0603,-153.4336,166.4,2,ml,,,,1.04,ak,ak0215acuor2,2021-04-25T10:29:38.318Z,"48 km NE of Pedro Bay, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-25T10:14:57.820Z,38.822834,-122.8116684,1.47,0.38,md,14,74,0.001366,0.03,nc,nc73554345,2021-04-25T11:08:04.905Z,"7km NW of The Geysers, CA",earthquake,0.27,0.63,0.31,2,automatic,nc,nc
2021-04-25T10:07:17.889Z,62.2167,-145.8066,1,1.8,ml,,,,0.96,ak,ak0215acss99,2021-04-25T10:21:57.224Z,"18 km NW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T10:06:17.817Z,17.5206,145.4908,523.4,4.5,mb,,75,3.954,0.55,us,us6000e4lv,2021-04-25T10:23:04.040Z,"256 km N of Saipan, Northern Mariana Islands",earthquake,11.7,9.6,0.062,78,reviewed,us,us
2021-04-25T10:04:03.562Z,58.3561,-136.8952,22.7,2.4,ml,,,,1.07,ak,ak0215acs3zl,2021-04-25T15:06:05.338Z,"37 km WNW of Elfin Cove, Alaska",ice quake,,0.7,,,automatic,ak,ak
2021-04-25T10:02:14.804Z,14.2724,-93.8735,10,4,mb,,204,2.125,0.61,us,us6000e4ls,2021-04-25T10:26:19.040Z,"150 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,9.7,2,0.113,21,reviewed,us,us
2021-04-25T10:00:46.904Z,63.5616,-147.3417,3,1.2,ml,,,,0.68,ak,ak0215acrchb,2021-04-25T10:16:35.734Z,"80 km ESE of McKinley Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T10:00:26.300Z,35.9081667,-117.6758333,9.9,0.97,ml,14,80,0.04471,0.11,ci,ci39628319,2021-04-25T10:03:56.068Z,"21km E of Little Lake, CA",earthquake,0.33,0.82,0.108,7,automatic,ci,ci
2021-04-25T09:48:48.800Z,17.8551,-66.8976,17,2.56,md,16,247,0.1859,0.16,pr,pr2021115003,2021-04-25T10:16:13.610Z,"12 km S of Guánica, Puerto Rico",earthquake,0.77,0.62,0.08,13,reviewed,pr,pr
2021-04-25T09:45:16.860Z,38.8325005,-122.8164978,1.36,1.1,md,22,47,0.01038,0.02,nc,nc73554330,2021-04-25T11:09:07.911Z,"8km NW of The Geysers, CA",earthquake,0.19,0.44,0.06,3,automatic,nc,nc
2021-04-25T09:42:39.343Z,44.2811,-115.0447,5.78,2.7,ml,,66,0.09,0.7,us,us6000e4ll,2021-04-25T10:42:25.707Z,"11 km NW of Stanley, Idaho",earthquake,4.8,7.4,0.047,60,reviewed,us,us
